Timestamp,X,Y,Z,Left_X,Left_Y,Left_Z,Left_ROLL,Left_YAW,Left_PITCH,Right_X,Right_Y,Right_Z,Right_ROLL,Right_YAW,Right_PITCH
0,0,0,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.01,-9.7774273313736e-08,-2.59478097038228e-05,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.02,-6.8346809813023e-07,-0.00018138207063949,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.03,-1.8171586318768e-06,-0.000482246349510572,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.04,-3.32859174650135e-06,-0.0008833577820905,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.05,-5.02648777428703e-06,-0.00133395364471063,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.06,-6.77642735611889e-06,-0.00179836107750084,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.07,-8.5086866878559e-06,-0.00225807643998023,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.08,-1.01997348123454e-05,-0.00270685497289208,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.09,-1.18508351807274e-05,-0.00314503197701274,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.1,-1.34726558938165e-05,-0.00357543860455084,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.11,-1.50769493082233e-05,-0.004001193752764,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.12,-1.66733522952078e-05,-0.00442485490117235,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.13,-1.82689731550379e-05,-0.00484830848489236,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.14,-1.98690626369324e-05,-0.00527294797315593,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.15,-2.14778369288189e-05,-0.00569989227831405,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.16,-2.30990864700262e-05,-0.00613014732549471,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.17,-2.47365161817405e-05,-0.00656469634460747,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.18,-2.63938863228898e-05,-0.00700453725135957,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.19,-2.80750425507171e-05,-0.00745069062487619,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.2,-2.97839014196896e-05,-0.00790419585933094,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.21,-3.15244283411411e-05,-0.00836610531476903,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.22,-3.33006230237232e-05,-0.00883748045322386,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.23,-3.51165150454687e-05,-0.00931939066360966,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.24,-3.69761671490423e-05,-0.00981291413623121,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.25,-3.88836829265782e-05,-0.010319139902223,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.26,-4.08432163409815e-05,-0.0108391703603586,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.27,-4.2858981635237e-05,-0.0113741239068307,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.28,-4.49352630352221e-05,-0.0119251375102305,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.29,-4.70764241414858e-05,-0.0124933692039838,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.3,-4.92869171118463e-05,-0.0130800005232727,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.31,-5.15712917794105e-05,-0.0136862389248202,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.32,-5.39342048238962e-05,-0.0143133202208198,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.33,-5.63804290726234e-05,-0.0149625110472776,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.34,-5.89148629746515e-05,-0.0156351113783045,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.35,-6.15425402724209e-05,-0.0163324570928239,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.36,-6.42686398871917e-05,-0.0170559225980162,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.37,-6.70984960330043e-05,-0.0178069235134117,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.38,-7.00376085751214e-05,-0.018586919419863,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.39,-7.30916536506413e-05,-0.0193974166780959,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
